,UUID,Date,text,FixedText
15878,5af2ed22-39af-4c7b-8c8e-64616f2f6370,1887-12-23,"<p>{shorthand}</p>

<p>Copy.</p>",{shorthand}  Copy.
17022,8e9b151c-65eb-488a-b129-593c7ba6f77c,1842-10-25,"<p>I hereby Notify the City Council that I shall <br/>
not render my services as a councellor gratis after<br/>
this date but require pay the same as other councellors</p>

<p>W Woodruff</p>

<p>[[Nauvoo, Hancock County, Illinois|Nauvoo]] <time datetime=""1842-10-25"">Oct 25 1842</time> </p>",I hereby Notify the City Council that I shall  not render my services as a councellor gratis after this date but require pay the same as other councellors  W Woodruff  Nauvoo Oct 25 1842 
17135,d4d7a7a5-03c5-47aa-8656-c6adc337f583,1856-10-13,"<p>[[Ilus Fabyan Carter|Ilus F Carter]]<br/>
<u>[[Portland, Cumberland County, Maine|Portland]] Oct 13<sup>th</sup> 1856</u><br/>
<u>Answered April 1<sup>st</sup> 1857</u></p>",Ilus F Carter Portland Oct 13th 1856 Answered April 1st 1857
17225,ca910998-6f83-49f6-91b2-903dd06c9098,1888-11-29,"<p><u>Private to Yourself &amp; Brother [[Leonard John Nuttall|Nuttall]]</u></p>

<p>Rec'd Nov. 30 - 1888 and attended to -</p>

<p>[[Salt Lake City, Salt Lake County, Utah|Salt Lake]] U.T. <time datetime=""1888-11-29"">Nov 29 / 1888</time></p>

<p>[[Joseph Fielding Smith|Joseph F. Smith]]</p>

<p>Dear Brother</p>

<p>I wrote to<br/>
say that I met with the Stock Holders <br/>
of the Bank &amp; more than 2/3 of the Stock <br/>
were <span class=""unclear"">[represented]</span> As I was about to<br/>
Leave for the farm [[Joseph Don Carlos Young|Carloss Young]] the <br/>
<strike><u>Architek</u></strike> <u>Archetect </u> called upon<br/>
me and <span class=""unclear"">[Entered Complete ]</span><span class=""unclear"">[ user]</span> <span class=""unclear"">[Boly]</span> <br/>
[[William Bowker Preston|Preston]] &amp; [[Moses Thatcher|M Thatcher]] Carloss but <br/>
sent for Iron <span class=""unclear"">[Piper]</span> which seems on the <br/>
way to carry the water from the [[Salt Lake City Temple, Salt Lake City, Salt Lake County, Utah|Temple]]<br/>
Preston <span class=""unclear"">[said]</span> He want not me <span class=""unclear"">[illegible]</span><br/>
and ordered <u>Morris</u> to Make Cly <span class=""unclear"">[pofes ]</span><br/>
for that purpose are both until <span class=""unclear"">[illegible]</span> to the <br/>
<span class=""unclear"">[illegible]</span> for Moses T <span class=""unclear"">[illegible]</span> Carloss He <u>is</u><br/>
not the Church <u>Archetect </u> &amp; Preston</p>",Private to Yourself and Brother Nuttall  Rec'd Nov. 30 - 1888 and attended to -  Salt Lake U.T. Nov 29 / 1888  Joseph F. Smith  Dear Brother  I wrote to say that I met with the Stock Holders  of the Bank and more than 2/3 of the Stock  were represented As I was about to Leave for the farm Carloss Young the  Architek Archetect  called upon me and Entered Complete  user Boly  M Thatcher Carloss but  sent for Iron Piper which seems on the  way to carry the water from the Temple Preston said He want not me illegible and ordered Morris to Make Cly pofes  for that purpose are both until illegible to the  illegible for Moses T illegible Carloss He is not the Church Archetect  and Preston
17226,b8479691-9857-441c-8807-3a09f991b6f7,1888-11-29,"<p>He has no <span class=""unclear"">[business]</span> in the [[Salt Lake City Temple, Salt Lake City, Salt Lake County, Utah|Temple]]<br/>
so there is a <span class=""unclear"">[illegible]</span> in Temple <br/>
matters and <u>[[William Bowker Preston|Preston]] &amp; [[Moses Thatcher|Thatcher]]</u> seems <br/>
to think Mtg the <u>Aaronic Pristhood</u> <br/>
should build the Temple &amp; <span class=""unclear"">[illegible]</span> the <br/>
Kingdom and the <u>Bishoppric</u> <span class=""unclear"">[illegible]</span><br/>
there is No Need of the Apostles or <br/>
Presdcy of the Church to could Temples <br/>
or <span class=""unclear"">[illegible]</span> or temporal matters so I<br/>
have called a council of the Twelve<br/>
to meet on the Grande at 100 N on <br/>
Mondy Mong with the<span class=""unclear"">[ illegible]</span><br/>
to learn if I can with <span class=""unclear"">[illegible]</span> the feel<br/>
for ay Need of the lead in not <br/>
I <span class=""unclear"">[illegible]</span> you are Br Nuttall to go<br/>
there early Monday Morning I wrote<br/>
you went to <span class=""unclear"">[Douglas]</span> to telegraph <br/>
to [[Lorenzo Snow|Lorenzo Snow]] to be here or <br/>
<span class=""unclear"">[Illegible]</span> I need Brother Preston<br/>
Notified &amp; his councellers to be their <br/>
I want all the Twelve we can get <u>BY</u><br/>
and all your Brother W Woodruff</p>",He has no business in the Temple so there is a illegible in Temple  matters and Thatcher seems  to think Mtg the Aaronic Pristhood  should build the Temple and illegible the  Kingdom and the Bishoppric illegible there is No Need of the Apostles or  Presdcy of the Church to could Temples  or illegible or temporal matters so I have called a council of the Twelve to meet on the Grande at 100 N on  Mondy Mong with the illegible to learn if I can with illegible the feel for ay Need of the lead in not  I illegible you are Br Nuttall to go there early Monday Morning I wrote you went to Douglas to telegraph  to Lorenzo Snow to be here or  Illegible I need Brother Preston Notified and his councellers to be their  I want all the Twelve we can get BY and all your Brother W Woodruff
17238,167048c3-978b-4040-af26-a0ca4d8b7cc4,1891-03-18,"<p>OFFICE OF <br/>
The First Presidency <br/>
of the <br/>
Church of Jesus Christ <br/>
of <br/>
Latter-day Saints</p>

<p>P.O. Box, B. [[Salt Lake City, Salt Lake County, Utah Territory|Salt Lake City]], Utah. <time datetime=""1891-03-18"">Mar. 18, 1891</time>.</p>

<p>Bishop [[William Bowker Preston|William B. Preston]],</p>

<p>City.</p>

<p>Dear Brother:</p>

<p>We are impressed to address you this lette<strike>h</strike>r, and to solicit your co-oper-<br/>
ation in the sugar-making enterprise which has been inaugurated lately among us. We <br/>
naturally feel reluctant to use our in<strike>o</strike>fluence with our brethren in affairs of this<br/>
kind, because we are aware of the present stringency of money matters and the many <br/>
calls that are made upon our brethren who have means, to invest in one direction and<br/>
another; but the exigency of this case calls for our active interposition in this bus-<br/>
iness. We have, in our public capacity, contributed to its stock, and have lent the<br/>
influence of our credit to aid the company in meeting its contracts. We feel the impor-<br/>
tance of establishing this industry, for it will furnish employment to a great many <br/>
hands, and also provide a market for our agriculturists to dispose of their beets. As<br/>
you are aware events have been so shaped by those who have obtained power in our <br/>
city and [[Salt Lake County, Utah Territory|county]] and elsewhere, as to deprive everyone of our faith of all public <br/>
employment, and to give the places which they occupied to those who are strangers to <br/>
our country. It seems absolutely necessary, therefore, that we sould look to the <br/>
interests of our own people, and by wise effort endeavor to establish ind<strike>n</strike>ustries which<br/>
will give them employment.</p>

<p>We believe that this sugar-making business has been examined with <br/>
care to furnish more than reasonable ground for hope that it can be made a <br/>
success in this country, not only in manufacturing sugar, but in producing good<br/>
returns for the money invested. The company has a Board of Directors who are practical <br/>
business men. They have been selected with a view to <br/>
give the public confidence in </p>","OFFICE OF  The First Presidency  of the  Church of Jesus Christ  of  Latter-day Saints  P.O. Box, B. Salt Lake City, Utah. Mar. 18, 1891.  Bishop William B. Preston,  City.  Dear Brother:  We are impressed to address you this lettehr, and to solicit your co-oper- ation in the sugar-making enterprise which has been inaugurated lately among us. We  naturally feel reluctant to use our inofluence with our brethren in affairs of this kind, because we are aware of the present stringency of money matters and the many  calls that are made upon our brethren who have means, to invest in one direction and another; but the exigency of this case calls for our active interposition in this bus- iness. We have, in our public capacity, contributed to its stock, and have lent the influence of our credit to aid the company in meeting its contracts. We feel the impor- tance of establishing this industry, for it will furnish employment to a great many  hands, and also provide a market for our agriculturists to dispose of their beets. As you are aware events have been so shaped by those who have obtained power in our  city and county and elsewhere, as to deprive everyone of our faith of all public  employment, and to give the places which they occupied to those who are strangers to  our country. It seems absolutely necessary, therefore, that we sould look to the  interests of our own people, and by wise effort endeavor to establish indnustries which will give them employment.  We believe that this sugar-making business has been examined with  care to furnish more than reasonable ground for hope that it can be made a  success in this country, not only in manufacturing sugar, but in producing good returns for the money invested. The company has a Board of Directors who are practical  business men. They have been selected with a view to  give the public confidence in "
17239,181de7ae-d4d8-430a-9fa8-9d35c7011eb4,1891-03-18,"<p>the enterprise. Since the issuance of the enclosed circular, Brother [[Thomas R. Cutler|Thomas R. Cutler]], <br/>
of [[Lehi, Utah County, Utah Territory|Lehi]], has been chosen Manager of the company. He is known to be an active, ener-<br/>
getic and safe business man. A change has also been made in the office of Secretary, <br/>
[[James Edgar Jennings|James E. Jennings]] hav<strike>y</strike>ing been selected for that position.</p>

<p>Those of us who have grown up with this country, and have been so <br/>
favored of the Lord since we came here in the accumulation of means, owe it to the <br/>
community that we should do our share in helping to develop home industries. In this <br/>
case, however, it is not expected that any sacrifice will be involved in purchasing <br/>
stock in the sugar company; but it is confidenty anticipated that it will prove a <br/>
good investment. We feel that the Lord is in this movement, and that it is our duty, <br/>
and the duty of this entire people, to make every exertion possible to carry out this <br/>
great branch of manufacture.</p>

<p>[[William Bowker Preston|You]] will be waited upon by Brothers [[Moses Thatcher|Moses Thatcher]] and [[Heber Jeddy Grant|Heber J. Grant]], <br/>
who will be able to answer all questions that you may desire to ask, and to give you <br/>
full information concerning this project in all its details; and we trust that you will<br/>
be able to see your way clear to subscribe for from $2500. to $5000. worth of stock.</p>

<p>With kindest regards,</p>

<p>We remain</p>

<p>Your Brethren,</p>

<p>Wilford Woodruff <br/>
[[George Quayle Cannon|Geo. Q. Cannon]] <br/>
[[Joseph Fielding Smith|Jos. F. Smith]]</p>","the enterprise. Since the issuance of the enclosed circular, Brother Thomas R. Cutler,  of Lehi, has been chosen Manager of the company. He is known to be an active, ener- getic and safe business man. A change has also been made in the office of Secretary,  James E. Jennings havying been selected for that position.  Those of us who have grown up with this country, and have been so  favored of the Lord since we came here in the accumulation of means, owe it to the  community that we should do our share in helping to develop home industries. In this  case, however, it is not expected that any sacrifice will be involved in purchasing  stock in the sugar company; but it is confidenty anticipated that it will prove a  good investment. We feel that the Lord is in this movement, and that it is our duty,  and the duty of this entire people, to make every exertion possible to carry out this  great branch of manufacture.  Heber J. Grant,  who will be able to answer all questions that you may desire to ask, and to give you  full information concerning this project in all its details; and we trust that you will be able to see your way clear to subscribe for from $2500. to $5000. worth of stock.  With kindest regards,  We remain  Your Brethren,  Wilford Woodruff  Geo. Q. Cannon  Jos. F. Smith"
17253,455361d5-4e2c-4334-8104-376980842b36,1887-08-07,"<p>[Historian's Office, Salt Lake City, Salt Lake County, Utah Territory|L. D. S. Historian's Office]], <br/>
P. O. Box 321,</p>

<p>[[Salt Lake City, Salt Lake County, Utah Territory|Salt Lake City]], Utah, Sunday <time datetime=""1887-08-07"">Aug 7 1887</time></p>

<p>[sideways text] answered [end of sideways text]</p>

<p><u>Please keep the contents of this Letter in your own family</u><br/>
as I do not wish my doings made public</p>

<p>Any Communication for me<br/>
out to [[John Jaques|John Jaques]] Box 321 Salt Lake City out side will <br/>
reach me inside [[Lewis Allen, Pseudonym|<u>L Allen</u>]]</p>

<p>Dear Brother &amp; Sister Atkin</p>

<p>I feel disposed<br/>
to Devote a few moments to write a few lines<br/>
to you for acquaintance sake if nothing more<br/>
of course you get the D News which gives<br/>
you an out line of what is going on<br/>
I thought I had written to you since I left<br/>
St George But in Looking over my Journal I dont<br/>
see it Well we Left St George with the two<br/>
baby colts they began to get Lame &amp; sick<br/>
We stoped 24 Hours on [[Fish Creek, Utah Territory|fish creek]] to Let them<br/>
Rest and Doctor them which gave me time to <br/>
ketch <u>54</u> trout while there when we got<br/>
to Elsenore we left both colts with Bishop<br/>
Sylvester who said He would take care of them<br/>
then we <u>drove</u> <u>40 miles</u> to [[Warm Creek, Sanpete County, Utah Territory|Warm Creek]] and<br/>
at 10 oclok as I was going to bed I Received<br/>
a telegraphic dispach saying president [[John Taylor, b. 1808|<u>Taylor</u>]]<br/>
was Dead I did not sleep much that night<br/>
Next day we drove 50 mile to Nephi I there<br/>
Met a Messenger from S. L. City who wished me</p>","Historian's Office, Salt Lake City, Salt Lake County, Utah Territory|L. D. S. Historian's Office,  P. O. Box 321,  Salt Lake City, Utah, Sunday Aug 7 1887  sideways text answered end of sideways text  Please keep the contents of this Letter in your own family as I do not wish my doings made public  Any Communication for me out to John Jaques Box 321 Salt Lake City out side will  reach me inside L Allen  Dear Brother and Sister Atkin  I feel disposed to Devote a few moments to write a few lines to you for acquaintance sake if nothing more of course you get the D News which gives you an out line of what is going on I thought I had written to you since I left St George But in Looking over my Journal I dont see it Well we Left St George with the two baby colts they began to get Lame and sick We stoped 24 Hours on fish creek to Let them Rest and Doctor them which gave me time to  ketch 54 trout while there when we got to Elsenore we left both colts with Bishop Sylvester who said He would take care of them then we drove 40 miles to Warm Creek and at 10 oclok as I was going to bed I Received a telegraphic dispach saying president Taylor was Dead I did not sleep much that night Next day we drove 50 mile to Nephi I there Met a Messenger from S. L. City who wished me"
17254,36bd44c8-3759-4dbd-8023-b945b6d42554,1887-08-07,"<p>to take cars in the Morning for the City which <br/>
I did do at 4 oclok and in S L City at 10 oclk<br/>
spent the day in the president's office Met some<br/>
Apostles and others This was on the <u>28</u> on the <br/>
29 <u>July</u> the funeral was held at the Tabernacle<br/>
at 12 <u>oclco</u> but the night before I went<br/>
to the <u>Gardo</u> <u>House</u> and viewed the body of<br/>
president Taylor His body was viewed by <br/>
thousands in the big Tabernacle from 7 oclk <br/>
until <u>12</u> I was at my office when the <u>procession</u><br/>
passed It consisted of 7 Bands of Music<br/>
<u>102</u> <u>vehcles</u> and a vast congregation. I met<br/>
next day with G. Q. Cannon &amp; Joseph F Smith<br/>
and the Apostles and president George Q Cannon <br/>
surrendered into the Hands of the Quorum<br/>
of the Twelve Apostles the power and Authority<br/>
of the business of the Church We Met two<br/>
day and I find myself introduced into a <br/>
good deal of business I went the night<br/>
of the 28 &amp; 29 to the farm Met with Emma <br/>
&amp; the children it was a Happy Meeting they<br/>
all send Love to you I have not seen<br/>
any of them since Emma &amp; Clara went<br/>
to Logan Monday Aug 1. Clara got Married</p>",to take cars in the Morning for the City which  I did do at 4 oclok and in S L City at 10 oclk spent the day in the president's office Met some Apostles and others This was on the 28 on the  29 July the funeral was held at the Tabernacle at 12 oclco but the night before I went to the Gardo House and viewed the body of president Taylor His body was viewed by  thousands in the big Tabernacle from 7 oclk  until 12 I was at my office when the procession passed It consisted of 7 Bands of Music 102 vehcles and a vast congregation. I met next day with G. Q. Cannon and Joseph F Smith and the Apostles and president George Q Cannon  surrendered into the Hands of the Quorum of the Twelve Apostles the power and Authority of the business of the Church We Met two day and I find myself introduced into a  good deal of business I went the night of the 28 and 29 to the farm Met with Emma  and the children it was a Happy Meeting they all send Love to you I have not seen any of them since Emma and Clara went to Logan Monday Aug 1. Clara got Married
17255,7f50e3fb-5208-4fe1-b952-e04bf42d4518,1887-08-07,"<p>They went to Smithfield to see Sarah and<br/>
Bell and the Children who was sick I had<br/>
heard Nothing from them since ownly they<br/>
returnd home Thursday went to Provo<br/>
Friday Emma came home Saturday, so I <br/>
hear, but have not seen any of the family <br/>
I left Brother Thompsons at Nephi but<br/>
He took cars came to S.L.C attended the funeral<br/>
went back for his team brought my things<br/>
to Emmas Has Left his team there gone<br/>
to Ogden to visit his relatives at <br/>
Clarkston, will be gone a few days, then<br/>
return to SLC take his team &amp; go home<br/>
It will be rather hard for him &amp; me to<br/>
part. He has been true &amp; faithful to me<br/>
He has painted the outside of Emmas<br/>
Kitchen while waiting on me I raised<br/>
him some Means to help pay his travelling<br/>
Expenses. Business will require me <br/>
to stay in the region of Salt Lake County</p>","They went to Smithfield to see Sarah and Bell and the Children who was sick I had heard Nothing from them since ownly they returnd home Thursday went to Provo Friday Emma came home Saturday, so I  hear, but have not seen any of the family  I left Brother Thompsons at Nephi but He took cars came to S.L.C attended the funeral went back for his team brought my things to Emmas Has Left his team there gone to Ogden to visit his relatives at  Clarkston, will be gone a few days, then return to SLC take his team and go home It will be rather hard for him and me to part. He has been true and faithful to me He has painted the outside of Emmas Kitchen while waiting on me I raised him some Means to help pay his travelling Expenses. Business will require me  to stay in the region of Salt Lake County"
17256,fa5008f3-7186-4116-96db-202c5acea8cb,1887-08-07,"<p>it has multiplied greatly and it is<br/>
an Evry day work <u>4 of</u> the <u>Apostles</u> attended<br/>
the funeral also D. H. Wells Marshals<br/>
looked vary sharp at him Brother <br/>
<u>M</u>. <u>Thatcher</u> prepared to go but I would<br/>
not permit for He would have stood a <br/>
chance to have been arrested and that would<br/>
have created trouble. I am still in<br/>
the Enjoyment of Good health but get<br/>
no Exercise but <span class=""unclear"">[conduct]</span> at work writing<br/>
or Everything Else I want you to give my love<br/>
&amp; Blessings to all your sons &amp; daughter<br/>
Alice enquired perticularly about Mary &amp;<br/>
Nellie &amp; sent Love to all I Expt the ducks<br/>
on the <u>pond</u> &amp; the <u>quails</u> will be glad that<br/>
I am shut up in Salt Lake County<br/>
Our Enemies are now again on the<br/>
Elert finding that [we] are again organized<br/>
the World Expects to see Mormonism fall<br/>
when a president Dies but thy forget that God Lives<br/>
I pray God to Bless you and all apper-<br/>
taining to you I remain your Brother in the Gospel<br/>
Lewis Allen</p>",it has multiplied greatly and it is an Evry day work 4 of the Apostles attended the funeral also D. H. Wells Marshals looked vary sharp at him Brother  M. Thatcher prepared to go but I would not permit for He would have stood a  chance to have been arrested and that would have created trouble. I am still in the Enjoyment of Good health but get no Exercise but conduct at work writing or Everything Else I want you to give my love and Blessings to all your sons and daughter Alice enquired perticularly about Mary and Nellie and sent Love to all I Expt the ducks on the pond and the quails will be glad that I am shut up in Salt Lake County Our Enemies are now again on the Elert finding that we are again organized the World Expects to see Mormonism fall when a president Dies but thy forget that God Lives I pray God to Bless you and all apper- taining to you I remain your Brother in the Gospel Lewis Allen
17303,60956c0e-d122-43bf-9235-c98d04228618,1895-02-15,"<p>and Adrain Wilcox Priest <span class=""unclear"">[27]</span> years<br/>
of age address Lyman<br/>
I am Your Brother in the Gospel</p>

<p>T E Ricks</p>",and Adrain Wilcox Priest 27 years of age address Lyman I am Your Brother in the Gospel  T E Ricks
17306,3e1fb9cd-9a57-48ac-a99a-334ec7dedb76,1895-06-04,"<p><time datetime=""1895-06-04"">June 4</time></p>

<p>President W<sup>m.</sup> Woodruff<br/>
[[Salt Lake City, Salt Lake County, Utah Territory|Salt Lake City]]<br/>
Dear Brother,</p>

<p>Saturday and Sunday Jan <br/>
8 and 9 is our conference which will<br/>
be hweld at [[Iona, Bingham County, Idaho|Iand]].  The brothren<br/>
coming should leave Salt Lake<br/>
Friday evening and some one will<br/>
meet them at [[Idaho Falls, Bingham County, Idaho|Idaho Falls]] Satu<br/>
morning   Jour Brother in the Gosp<br/>
[[Thomas Edwin Ricks|T. E. Ricks]]</p>","June 4  President Wm. Woodruff Salt Lake City Dear Brother,  Saturday and Sunday Jan  8 and 9 is our conference which will be hweld at Iand.  The brothren coming should leave Salt Lake Friday evening and some one will meet them at Idaho Falls Satu morning   Jour Brother in the Gosp T. E. Ricks"
17307,68a4f83d-4132-4de1-8211-581520935c84,1895-09-09,"<p><time datetime=""1895-09-09"">September 9</time><br/>
President W. Woodruff<br/>
[[Salt Lake City, Salt Lake County, Utah Territory|Salt Lake City]]<br/>
Dear Brother<br/>
In the <span class=""unclear"">[illegible]</span> of Egin ward are<br/>
beg to say that this is a country of eleven<br/>
three miles with about <span class=""unclear"">[?8]</span> families equally<br/>
distributed. The meeting house is in one end<br/>
of the ward and very inconvenient for a great<br/>
portion of the people. They <span class=""unclear"">[therefore]</span> desire to <br/>
<span class=""unclear"">[illegible]</span> a ward <span class=""unclear"">[illegible]</span> organization. By granting their<br/>
desire the ward would be about equally divided<br/>
placing about 25 families in the new ward.<br/>
The name of [[Hyrum J. Lucas|Hyrum J. Lucas]] has been<br/>
selected a approved of by the High Council<br/>
for Bishop. If our doings in this are satisfactory<br/>
to you we will be pleased to hear from<br/>
you when convenient. With kind regards<br/>
we are your Brethren in the Gospel<br/>
[[Thomas Edwin Ricks|T E Ricks]]</p>

<p>Thomas</p>",September 9 President W. Woodruff Salt Lake City Dear Brother In the illegible of Egin ward are beg to say that this is a country of eleven three miles with about ?8 families equally distributed. The meeting house is in one end of the ward and very inconvenient for a great portion of the people. They therefore desire to  illegible a ward illegible organization. By granting their desire the ward would be about equally divided placing about 25 families in the new ward. The name of Hyrum J. Lucas has been selected a approved of by the High Council for Bishop. If our doings in this are satisfactory to you we will be pleased to hear from you when convenient. With kind regards we are your Brethren in the Gospel T E Ricks  Thomas
17309,8fdf5b73-8fbb-4c3f-a3ac-7efff8a287cb,1895-02-01,"<p><time datetime=""1895-02""></time>Prest. W. Woodruff<br/>
[[Salt Lake City, Salt Lake County, Utah|Salt Lake City]]<br/>
Dear Brothes,</p>

<p>Replying to your favor of<br/>
16th inst. [[William Hill, b. 1848|W. Hill]] is english and<br/>
Joseph Janes is Switsh</p>

<p>Your Brother in the Gospel<br/>
[[Thomas Edwin Ricks|T. E. Ricks]] </p>","Prest. W. Woodruff Salt Lake City Dear Brothes,  Replying to your favor of 16th inst. W. Hill is english and Joseph Janes is Switsh  Your Brother in the Gospel T. E. Ricks "
